="",="(1)",="(2)"
="",="Male",="Female"
="",="b/ci95",="b/ci95"
="Normal__up_to_120",="",=""
="Age (years)",="1.00 [1.00;1.00]",="1.00 [1.00;1.00]"
="Body mass index (BMI)",="1.00 [1.00;1.00]",="1.00 [1.00;1.00]"
="Age (years) # Body mass index (BMI)",="1.00 [1.00;1.00]",="1.00 [1.00;1.00]"
="Elevated___120_140_",="",=""
="Age (years)",="1.12* [1.01;1.24]",="1.16* [1.02;1.33]"
="Body mass index (BMI)",="1.27** [1.09;1.48]",="1.25** [1.08;1.46]"
="Age (years) # Body mass index (BMI)",="1.00 [0.99;1.00]",="1.00 [0.99;1.00]"
="High___140_",="",=""
="Age (years)",="1.26*** [1.13;1.40]",="1.20*** [1.08;1.33]"
="Body mass index (BMI)",="1.58*** [1.29;1.94]",="1.28*** [1.13;1.46]"
="Age (years) # Body mass index (BMI)",="0.99** [0.99;1.00]",="1.00 [0.99;1.00]"
="N_sub",="500.00",="586.00"
="Exponentiated coefficients"
="",="(1)",="(2)"
="",="Male",="Female"
="",="b/ci95",="b/ci95"
="systolbin",="",=""
="Age (years)",="1.15*** [1.07;1.23]",="1.17*** [1.12;1.22]"
="Body mass index (BMI)",="1.32*** [1.15;1.51]",="1.25*** [1.18;1.33]"
="Age (years) # Body mass index (BMI)",="1.00** [0.99;1.00]",="1.00*** [1.00;1.00]"
="/",="",=""
="cut1",="3449.81*** [90.91;130911.70]",="11626.64*** [1821.09;74229.75]"
="cut2",="24882.03*** [607.23;1019570.91]",="56225.75*** [7947.51;397776.77]"
="N_sub",="500.00",="586.00"
="Exponentiated coefficients"
